STATE,CITY,STANDARD_TZ,DAYLIGHT_TZ,UTC_STANDARD,UTC_DAYLIGHT,START_DAYLIGHT,END_DAYLIGHT
AL,Dannelly,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Danville,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Daphne,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,"Dauphin Island",CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Daviston,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Dawson,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Dayton,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,"De Armanville",CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Deatsville,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Decatur,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,"Deer Park",CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Delmar,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Delta,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Demopolis,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Detroit,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Dickert,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Dickinson,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Dixiana,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Dixie,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,"Dixons Mills",CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Dixonville,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Docena,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Dolomite,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Dora,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Dothan,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,"Double Springs",CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Douglas,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Dozier,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Duncanville,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Dutton,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,"East Brewton",CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,"East Gadsden",CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,"East Tallassee",CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Eastaboga,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Eastside,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Echo,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Echola,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Eclectic,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Eden,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Edwardsville,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,"Eight Mile",CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Elba,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Elberta,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Eldridge,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Elkmont,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Elliotsville,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Elmore,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Elrod,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Elsanor,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Emelle,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Empire,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,"English Village",CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Ensley,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Enterprise,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Eoline,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Epes,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Eprise,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Equality,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Erin,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Estillfork,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Ethelsville,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Eufaula,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Eunola,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Eutaw,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Eva,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Evergreen,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Excel,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Fabius,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Fackler,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Fairfax,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Fairfield,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Fairhope,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Falkville,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Farmersville,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Faunsdale,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
